"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",997.439773207048,4.31247524294081,0.172416007486718,24.8072859229265,7.48056302365555e-136,1.33333555333637e-131
"ENSG00000165995",495.092906698546,3.186997790394,0.12790449605489,24.7615615592537,2.32754460978728e-135,2.07430775624242e-131
"ENSG00000120129",3409.02937530956,2.87114605894618,0.118378960896454,24.2452788041186,7.4155763115132e-130,4.40584107254705e-126
"ENSG00000101347",12703.3870621821,3.61764971780419,0.149305748562667,24.1687149659512,4.74708323109693e-129,2.11530028777679e-125
"ENSG00000189221",2341.76725275591,3.22970954556952,0.13690010787146,23.6096898481466,3.06486798384411e-123,1.09256413888075e-119
"ENSG00000211445",12285.6151498691,3.55198650163628,0.158394229192912,22.4286402633057,2.06862699488246e-111,6.14520125946416e-108
"ENSG00000157214",3009.26322295794,1.94875082432258,0.0885355345850524,22.0038427588948,2.64585317067972e-107,6.73709813059934e-104
"ENSG00000162614",5393.10168349223,2.00344353582255,0.0926536912384951,21.6243187835311,1.06071799690736e-103,2.36327969710961e-100
"ENSG00000125148",3656.252782247,2.16700291441739,0.103569516118218,20.9241357650527,3.22863500128004e-97,6.39413225142394e-94
"ENSG00000154734",30315.1354711078,2.28647260430036,0.113240033626555,20.224558351427,5.95210061723892e-91,1.06090241401667e-87
"ENSG00000162493",1099.62586594636,1.8574103545265,0.0937810144995387,19.8108952373971,2.39782651421704e-87,3.88535088994587e-84
"ENSG00000139132",1223.46614081102,2.18024025218462,0.110186356849562,19.7636722741645,6.11871052256499e-87,9.0883246961832e-84
"ENSG00000134243",5510.95825597916,2.14901057628651,0.109618608937301,19.5847106471776,2.08789508624541e-85,2.86266477055678e-82
"ENSG00000179094",776.596665468835,3.04160178941672,0.15616405228517,19.4396514013627,3.56580333554746e-84,4.53977704662843e-81
"ENSG00000162692",508.170232439755,-3.44849671527272,0.176872733617675,-19.3931193191323,8.82208465648821e-84,1.04829891278164e-80
"ENSG00000163884",561.107166129071,4.07199074397657,0.21081589805066,18.9431859474902,5.0261652062239e-80,5.59914803973342e-77
"ENSG00000178695",2649.85014895882,-2.44510187285925,0.130331999008655,-18.7757650914878,1.19218143230581e-78,1.24996716761287e-75
"ENSG00000148848",1365.17398590702,-1.78269951343608,0.0984665193549906,-18.0882135150383,3.94674991531103e-73,3.90815947169466e-70
"ENSG00000107562",25136.3075719089,-1.87626055240677,0.103741857676658,-18.0630789374047,6.22515477077722e-73,5.83985045443859e-70
"ENSG00000198624",2057.19173059348,2.78271163846877,0.154315903712639,18.049633382431,7.94161121665593e-73,7.07756391628376e-70
"ENSG00000146250",313.689977800113,-2.63705198028529,0.147084874498148,-17.826644820975,4.38987549162511e-71,3.72595908393933e-68
"ENSG00000106976",884.745882993046,-1.72518324352603,0.0975994415587182,-17.6659758016626,7.66753482791719e-70,6.21209730785436e-67
"ENSG00000154930",670.046703530433,1.85697258442523,0.106022516749406,17.515182812523,1.09732883739687e-68,8.50382139033125e-66
"ENSG00000163394",1216.6020649876,-2.11926160773843,0.121460999036918,-17.4467117134724,3.64629012313862e-68,2.70797813145095e-65
"ENSG00000253368",1040.17649034906,1.94165612076979,0.111706279213265,17.3854338379397,1.06379290833028e-67,7.58441791923156e-65
"ENSG00000162616",1467.63582703992,1.49844486697917,0.0864384231459015,17.3316095700003,2.71619215129753e-67,1.86205418864335e-64
"ENSG00000163661",8565.70116426611,2.18976471791055,0.127104497582053,17.2487545821335,1.14337473880726e-66,7.54796716462983e-64
"ENSG00000148175",11193.718773887,1.42977794391217,0.0831634681898954,17.1907566498293,3.11441137794138e-66,1.98254530001525e-63
"ENSG00000124766",1281.46865801595,-2.32182584474475,0.135938906942227,-17.1086440848181,1.27943291190387e-65,7.86365938681883e-63
"ENSG00000197381",1969.04835631005,2.2433935350094,0.131375121675539,17.0730860701606,2.35419935678261e-65,1.39870831117644e-62
"ENSG00000172403",8014.7816508389,1.71003411096518,0.101388430182563,16.8796575475473,6.35121726130221e-64,3.6517450472726e-61
"ENSG00000116285",3232.63543712134,2.33756962033833,0.139285037079757,16.7720439414799,3.90830281493674e-63,2.17692466791976e-60
"ENSG00000163083",418.921476555884,3.20936031160042,0.191475845509791,16.5003150594199,3.64983328527206e-61,1.97135237808149e-58
"ENSG00000166741",7432.9363516342,2.11537214774841,0.130459819260608,16.236009201869,2.80594947714338e-59,1.47097774942952e-56
"ENSG00000070404",2128.11402480981,1.77724424534324,0.110817318237537,16.0084030135044,1.11638619570202e-57,5.68527644348366e-55
"ENSG00000105989",333.214688163837,-2.84700391428133,0.176275687700902,-15.8946514768227,6.9011200041813e-57,3.41682119318132e-54
"ENSG00000122035",943.340574231144,2.21125415720326,0.139498212835176,15.7830619797078,4.06957646106299e-56,1.96043596870234e-53
"ENSG00000136478",3701.52859767166,1.44424719620012,0.0916116323254399,15.7541224199051,6.43463964462099e-56,3.0181846585717e-53
"ENSG00000119139",5029.85142077092,1.87927596460789,0.119196655376507,15.7487594008511,7.004192547027e-56,3.20109558867203e-53
"ENSG00000108821",100990.694351515,-1.28786198529125,0.0842983699604714,-15.2800216032376,1.03906271274743e-52,4.63006344800253e-50
"ENSG00000196569",17178.4260430908,1.97121648399472,0.128887677778604,15.2697895850837,1.21564696412667e-52,5.28480280209603e-50
"ENSG00000145685",2018.16368824202,-1.22531611153245,0.0807490707176283,-15.1713135747518,5.4769637192478e-52,2.32431907933031e-49
"ENSG00000134686",2737.98198594824,1.36686765519506,0.0903365271988993,15.1300836601339,1.02564933684811e-51,4.25143576278622e-49
"ENSG00000172986",756.366829107728,-1.54299402444424,0.101956539941993,-15.1251720153349,1.1051149413974e-51,4.47672016260619e-49
